zenithbankghana,6
value,6
kindly provide,6
kindly note,6
money account,6
visit branch,6
add,6
exactly,6
since morning,6
airtime,6
simply,6
electronic,6
please advised,6
listen,6
put,6
public,6
listen people,6
fall,6
conversation,6
watch,6
also,6
march,6
later,6
small,6
replying,6
visit website,6
report anyone,6
fast,6
disregard report,6
check ur,6
fraudster whatsapp,6
bought,6
transaction account,6
cc,6
showing,6
pm,6
happened,6
top,6
right,6
running,6
claim,6
sad,6
forward,6
claiming,6
stranded,6
bvn,6
please check,6
three,6
though,6
hi,6
scammer listen,6
staff,6
scammer take,6
th,6
screenshot error,6
hello kindly,6
note account,6
funny,6
open account,6
passport,6
january,6
paying,6
upgrade,6
possible,6
still yet,6
bank app,6
unable,6
people scammer,6
criminal,6
automatic reversal,6
urgently,6
sent dm,6
informed required,6
reverse money,6
could,6
plc,5
hear,5
receipt,5
lot,5
gt,5
rate,5
locked,5
quiet,5
every week,5
got debited,5
gonna,5
go bank,5
reach,5
giving,5
pain,5
kindly dial,5
opened account,5
interest,5
money asap,5
joke,5
phone number,5
must,5
knew,5
nd,5
lagos,5
process,5
message detail,5
necessary,5
fit,5
investigate,5
platform assistance,5
please disregard,5
poor,5
good day,5
new phone,5
next,5
nigerian,5
immediately,5
id card,5
pls reply,5
ok,5
kindly contact,5
ole,5
may,5
previous,5
zero,5
machine,5
respond dm,5
twitter handle,5
two week,5
type,5
balance transfer,5
unit,5
avail,5
automatically,5
ur dm,5
scamming,5
attracts,5
debited customer,5
debited without,5
saturday,5
attend,5
useless bank,5
defrauded,5
ussd code,5
app new,5
result,5
directive,5
amt,5
transferred showing,5
current account,5
bank plc,5
thank much,5
cbn directive,5
certain amount,5
sum,5
stopped,5
cash,5
careful,5
swear,5
staysafe,5
cannot,5
claiming zenith,5
transfer withdraw,5
sorted,5
tick engaging,5
busy,5
solution,5
bring,5
block account,5
track,5
beginning,5
showing ledger,5
amount transferred,5
certain,5
without reversal,5
yes,5
refunded,5
acct dt,5
refund money,5
register,5
winner,5
endsars lekkimassacre,5
electricity,5
afternoon,5
withdraw need,5
dt,5
dr amt,5
ago,5
xx,5
account weekly,5
weekly,5
ref,5
redirecting platform,5
zenithreversal,5
abi,5
inbound transfer,4
noticed,4
took,4
ignore,4
best,4
note official,4
believe,4
inbound,4
mail zenithdirect,4
official twitter,4
beg,4
made transfer,4
transaction enable,4
inflow saving,4
transaction failed,4
transfer account,4
transfer inflow,4
informed presently,4
sun,4
branch manager,4
system,4
account safe,4
look blue,4
high,4
one sleeping,4
history,4
calm,4
omo,4
long,4
sure,4
thunder,4
care line,4
otp,4
opening,4
thunder fire,4
bank scam,4
manually,4
receiving,4
zenith card,4
tick please,4
careful interact,4
account upgrade,4
amount customer,4
needful,4
account wey,4
inside,4
money back,4
kindly check,4
user,4
atm machine,4
using account,4
kindly help,4
medium social,4
utility,4
monday morning,4
verified blue,4
kindly respond,4
mobile number,4
verified look,4
apology,4
anyone claiming,4
known,4
missing,4
mind,4
mention,4
message review,4
virtual,4
visa,4
aid,4
want stop,4
message assist,4
kind,4
weekly line,4
money reversed,4
bank charge,4
neither,4
whole,4
visited,4
instead,4
institution,4
interact,4
interact social,4
treat,4
across,4
bank get,4
activate,4
activated,4
letter,4
liking,4
babe,4
aware,4
maybe,4
light,4
multiple,4
activity,4
morning pls,4
advised whatsapp,4
handle zenith,4
attention,4
keep account,4
received debit,4
simple,4
experienced,4
since last,4
fund account,4
explanation,4
go find,4
plc verified,4
presently whatsapp,4
finally,4
please revert,4
simply visit,4
presently,4
select,4
friend,4
single,4
server,4
quarterly,4
engaging anyone,4
registered,4
else,4
sleeping,4
earnings,4
promo,4
profit,4
requested,4
sha,4
download,4
customer id,4
credit alert,4
serious,4
electronic inbound,4
get whatsapp,4
eazy,4
countless,4
reset,4
giveaway,4
send mail,4
please reply,4
retrieve,4
please help,4
safe careful,4
statement,4
point,4
deposit,4
device,4
past,4
rectify,4
reversal fund,4
real,4
deduct,4
difficult,4
reference,4
charging card,4
reversal done,4
perform,4
recent,4
charge electronic,4
pls need,4
part,4
compromised,4
mad,4
slow,4
saving current,4
collected,4
closing,4
start,4
saving account,4
story,4
fire,4
web,3
required allow,3
porous,3
revert money,3
reverse automatically,3
utility bill,3
website open,3
victim,3
portal,3
wait,3
reset password,3
response thank,3
verified handle,3
rest assured,3
message due,3
virtual card,3
via link,3
via verified,3
might,3
minute,3
post,3
paper,3
week without,3
withdrawal,3
within,3
without paying,3
without reason,3
reflect,3
woke,3
make una,3
reference number,3
worked,3
make transfer,3
make payment,3
worst,3
reaching,3
yahoo,3
ref get,3
yet account,3
yet get,3
redirecting whatsapp,3
zenith something,3
reattempt,3
zenithdirect enable,3
receive money,3
raffle draw,3
raffle,3
proven,3
refused,3
men,3
provide screenshot,3
repeat eni,3
repeat,3
well done,3
meanwhile,3
mean,3
police,3
went bank,3
md,3
wey never,3
may assistance,3
public utility,3
weyrey,3
qtr,3
whats,3
mastercard maintenance,3
qtr master,3
qualify,3
win,3
quarter,3
usually,3
scam page,3
point please,3
sleeping repeat,3
till today,3
time go,3
timeline,3
occurred,3
number zenith,3
number thank,3
token app,3
number name,3
token sent,3
notification,3
sincerely apologise,3
sincerely,3
touch,3
touch point,3
towards,3
note social,3
since th,3
since saturday,3
transaction date,3
since january,3
none,3
oga,3
somebody,3
mondaymotivation,3
something stealing,3
submit,3
passport photograph,3
stop fraud,3
sun oo,3
stop debit,3
stealing customer,3
sunday,3
stealing,3
steal,3
surprised,3
people scam,3
per,3
tag,3
taken,3
team,3
one time,3
stay,3
one branch,3
state,3
photograph,3
speak,3
transaction debit,3
non,3
transaction declined,3
transaction detail,3
unfortunate,3
national,3
unlock,3
seeing,3
please take,3
see soon,3
please want,3
see money,3
morning deadline,3
student,3
use dm,3
month later,3
pls check,3
running late,3
money inside,3
money care,3
review investigate,3
po debited,3
using atm,3
using mobile,3
using since,3
please return,3
self,3
necessary document,3
please dm,3
nice,3
ngn,3
sharp,3
transaction go,3
transaction today,3
share experience,3
new device,3
transfer since,3
transfer using,3
set,3
sense,3
please fix,3
transferred first,3
please keep,3
please kindly,3
please look,3
seriously,3
series,3
need help,3
need fund,3
okay,3
old,3
charged card,3
claim manually,3
hour automatic,3
bank since,3
hour kindly,3
hour money,3
bank mobile,3
bank like,3
bank help,3
hour still,3
bank branch,3
however,3
automatically hour,3
attracts charge,3
attend customer,3
assured,3
assistance please,3
hit,3
bigger,3
biko,3
hell,3
channel,3
changed,3
cgpa,3
cause,3
care number,3
held,3
card service,3
bos,3
hello pls,3
card maintaining,3
cant,3
calling,3
call see,3
call customer,3
asking,3
apply,3
applies,3
account fraudulent,3
account people,3
account online,3
inflow attracts,3
account locked,3
account kindly,3
account get,3
account even,3
account thank,3
account detail,3
account bank,3
accessing,3
access bank,3
able,3
interswitch,3
account please,3
account without,3
app click,3
hwfar,3
apology inconvenience,3
huge,3
apologise,3
another bank,3
amt ref,3
hustle,3
imagine,3
across touch,3
almost week,3
aid review,3
ah,3
advised inflow,3
active,3
incompetent,3
charge cumulatively,3
closing account,3
issue resolved,3
communicate,3
fact,3
dividend,3
directed,3
digital,3
dem,3
delete,3
deducted account,3
financial institution,3
find work,3
declined po,3
decline,3
debiting,3
debited transaction,3
death one,3
death,3
dm account,3
explain,3
dm detail,3
earth,3
either,3
eni,3
eni sun,3
even atm,3
even joke,3
even know,3
evening please,3
expired,3
draw,3
evidence,3
document,3
exactly wrong,3
dm response,3
experience direct,3
deadline life,3
forever,3
deadline,3
correct,3
guide,3
guy still,3
credited,3
court,3
countless time,3
cost,3
copy,3
good luck,3
contacted,3
handle please,3
contact detail,3
confirm,3
hanging,3
concern,3
got credit,3
go soon,3
de,3
free,3
day please,3
dance,3
daily,3
customer want,3
cumulatively debited,3
cumulatively,3
frustrating,3
getting scammed,3
fund morning,3
fund reverse,3
gain,3
gain access,3
get debited,3
get mobile,3
investigation,3
enable log,3
kindly reattempt,3
loading,3
job,3
kindly revert,3
kindly reverse,3
lying,3
late good,3
learn,3
life death,3
logo,3
luck,3
kindly allow,3
kindly forward,3
kept,3
log claim,3
kindly refund,3
keeping,3
legal,3
list,3
please refund,2
funny huge,2
please please,2
please pay,2
full,2
mc po,2
mc,2
please respond,2
gainer,2
please reverse,2
light bill,2
please see,2
frm successful,2
frm,2
please someone,2
liked,2
please thanks,2
license international,2
